Appin,APPIN,NSW1,operating,APPIN,gas_wcmg,55
Awaba,AWABAREF,NSW1,retired,AWABAREF,bioenergy_biogas,1
Bankstown Sports Club,BANKSPT,NSW1,retired,BANKSPT1,distillate,1
Bayswater,BAYSW,NSW1,operating,BW01,black_coal,660
Bayswater,BAYSW,NSW1,operating,BW02,black_coal,660
Bayswater,BAYSW,NSW1,operating,BW03,black_coal,660
Bayswater,BAYSW,NSW1,operating,BW04,black_coal,660
Beryl,BERYLSF,NSW1,operating,BERYLSF1,solar,98
Blayney,BLAYNEY,NSW1,operating,BLAYNEY,wind,9.9
Blowering,SNOWY6,NSW1,operating,BLOWERNG,hydro,80
Boco Rock,BOCOROCK,NSW1,operating,BOCORWF1,wind,113
Bodangora,BODWF,NSW1,operating,BODWF1,wind,113
Bomen,BOMENSF,NSW1,operating,BOMENSF1,solar,121
Broadwater,BWTR1,NSW1,operating,BWTR1,bioenergy_biogas,38
Broken Hill,BROKENH,NSW1,operating,BROKENH1,solar,27
Broken Hill,BHILLGT,NSW1,operating,GB01,distillate,50
Brown Mountain,BROWNMT,NSW1,operating,BROWNMT,hydro,5
Burrendong,BDONGHYD,NSW1,operating,BDONGHYD,hydro,19
Burrinjuck,BURRIN,NSW1,operating,BURRIN,hydro,27
Capital,CAPTL_WF,NSW1,operating,CAPTL_WF,wind,140
Capital East,CESF,NSW1,operating,CESF1,solar,1
Coleambally,COLEASF,NSW1,operating,COLEASF1,solar,180
Colongra,COLONGRA,NSW1,operating,CG1,gas_ocgt,181
Colongra,COLONGRA,NSW1,operating,CG2,gas_ocgt,181
Colongra,COLONGRA,NSW1,operating,CG3,gas_ocgt,181
Colongra,COLONGRA,NSW1,operating,CG4,gas_ocgt,181
Condong,CONDONG1,NSW1,operating,CONDONG1,bioenergy_biogas,30
Copeton,COPTNHYD,NSW1,operating,COPTNHYD,hydro,22.5
Crookwell,CROOKWEL,NSW1,operating,CROOKWEL,wind,4.8
Crookwell 2,CROOKWF2,NSW1,operating,CROOKWF2,wind,96
Cullerin Range,CULLERIN,NSW1,operating,CULLRGWF,wind,30
Earthpower Biomass,PMATTAEP,NSW1,retired,PMATTAEP,gas_recip,4
Eastern Creek,EASTCRK,NSW1,operating,EASTCRK,bioenergy_biogas,5
Eastern Creek 2,EASTCRK2,NSW1,operating,EASTCRK2,bioenergy_biogas,8.984
Eraring,ERARING,NSW1,operating,ER01,black_coal,720
Eraring,ERARING,NSW1,operating,ER02,black_coal,720
Eraring,ERARING,NSW1,operating,ER03,black_coal,720
Eraring,ERARING,NSW1,operating,ER04,black_coal,720
Eraring,ERGT01,NSW1,operating,ERGT01,distillate,42
Finley,FINLEYSF,NSW1,operating,FINLYSF1,solar,162
Glenbawn,GLBWNHYD,NSW1,operating,GLBWNHYD,hydro,5.5
Glennies Creek,GLENNCRK,NSW1,operating,GLENNCRK,gas_wcmg,12
Goonumbla,GOONSF,NSW1,operating,GOONSF1,solar,85
Goonumbla,GOONUMSF,NSW1,operating,GOONSF1,solar,85
Grange Avenue,GRANGEAV,NSW1,operating,GRANGEAV,bioenergy_biogas,2
Griffith,GRIFSF,NSW1,operating,GRIFSF1,solar,27
Gullen Range,GULLRGWF,NSW1,operating,GULLRSF1,solar,10
Gullen Range,GULLRGWF,NSW1,operating,GULLRWF1,wind,165
Gullen Range,GULLRGWF,NSW1,operating,GULLRWF2,wind,110
Gunning,GUNNING,NSW1,operating,GUNNING1,wind,47
Guthega,SNOWY3,NSW1,operating,GUTHEGA,hydro,60
Hampton,HAMPTON,NSW1,operating,HAMPTON,wind,1.32
Hume (NSW),HUMENSW,NSW1,operating,HUMENSW,hydro,29
Hunter Economic Zone,HEZ,NSW1,retired,HEZ,distillate,29
Hunter Valley,HUNTVGT,NSW1,operating,HVGTS,distillate,50
Jacks Gully,JACKSGUL,NSW1,operating,JACKSGUL,bioenergy_biogas,2
Jindabyne (Mini Hydro),JNDSHPS,NSW1,operating,JNDABNE1,hydro,1
Jounama (Mini Hydro),JOUNAMA,NSW1,operating,JOUNAMA1,hydro,14
Keepit,KEEPIT,NSW1,operating,KEEPIT,hydro,6
Kemps Creek,AGLSITA,NSW1,operating,AGLSITA1,bioenergy_biogas,1
Kincumber,KINCUMB,NSW1,operating,KINCUM1,bioenergy_biogas,1
Liddell,LIDDELL,NSW1,operating,LD01,black_coal,500
Liddell,LIDDELL,NSW1,operating,LD02,black_coal,500
Liddell,LIDDELL,NSW1,operating,LD03,black_coal,500
Liddell,LIDDELL,NSW1,operating,LD04,black_coal,500
Limondale  2,LIMOSF2,NSW1,operating,LIMOSF21,solar,38
Limondale SF,LIMOSF1,NSW1,operating,LIMOSF11,solar,275
Lucas Heights 2,LUCAS2S2,NSW1,operating,LUCAS2S2,bioenergy_biogas,5
Lucas Heights 2,LUCASHGT,NSW1,retired,LUCASHGT,bioenergy_biogas,12.65
Manildra,MANSLR,NSW1,operating,MANSLR1,solar,25
Moree,MOREESF,NSW1,operating,MOREESF1,solar,57
Mt Piper,MP,NSW1,operating,MP1,black_coal,700
Mt Piper,MP,NSW1,operating,MP2,black_coal,700
Mugga Lane,MLSP,NSW1,operating,MLSP1,solar,12
Munmorah,MM,NSW1,retired,MM3,black_coal,300
Munmorah,MM,NSW1,retired,MM4,black_coal,300
Narromine,NASF,NSW1,operating,NASF1,solar,10
Nevertire,NEVERSF,NSW1,operating,NEVERSF1,solar,132
Nyngan,NYNGAN,NSW1,operating,NYNGAN1,solar,102
Parkes,PSF,NSW1,operating,PARSF1,solar,55
Pindari,PINDARI,NSW1,operating,PINDARI,hydro,6
Redbank,REDBANK1,NSW1,retired,REDBANK1,black_coal,150
