Agl Kemps Creek,nem_352,AGLSITA1,NSW1,operating,AGLSITA1,bioenergy_biomass,1.0
Albury,nem_668,,NSW1,operating,,bioenergy_biogas,1.123
Appin,nem_7,APPIN,NSW1,operating,APPIN,gas_wcmg,55.0
Awaba,nem_10,AWABAREF,NSW1,retired,AWABAREF,bioenergy_biogas,1.0
Awaba,nem_670,,NSW1,operating,,bioenergy_biogas,1.123
Bakers Maison,nem_671,,NSW1,operating,,solar_utility,0.2246
Bankstown Sports Club,nem_14,BANKSPT,NSW1,retired,BANKSPT1,distillate,1.0
Bankstown Sports Club,nem_673,,NSW1,operating,,distillate,0.8
Bankstown Sports Club,nem_673,,NSW1,operating,,distillate,1.34
Bayswater,nem_22,BAYSW,NSW1,operating,BW03,coal_black,660.0
Bayswater,nem_22,BAYSW,NSW1,operating,BW01,coal_black,660.0
Bayswater,nem_22,BAYSW,NSW1,operating,BW04,coal_black,660.0
Bayswater,nem_22,BAYSW,NSW1,operating,BW02,coal_black,660.0
Belconnen,nem_676,,NSW1,operating,,bioenergy_biogas,1.03
Belrose,nem_677,,NSW1,operating,,bioenergy_biogas,1.03
Beryl,nem_29,BERYLSF,NSW1,operating,BERYLSF1,solar_utility,98.0
Beryl,nem_494,BERYLSF1,NSW1,operating,BERYLSF1,solar_utility,98.0
Biala,nem_680,,NSW1,committed,,wind,110.67
Blayney,nem_346,BLAYNEY,NSW1,operating,BLAYNEY,wind,9.9
Blayney,nem_682,,NSW1,operating,,wind,9.9
Blowering,nem_261,SNOWY6,NSW1,operating,BLOWERNG,hydro,80.0
Boco Rock,nem_36,BOCOROCK,NSW1,operating,BOCORWF1,wind,113.0
Boco Rock,nem_401,BOCORWF1,NSW1,operating,BOCORWF1,wind,113.18
Boco Rock,nem_401,BOCORWF1,NSW1,operating,BOCORWF1,wind,
Bodangora,nem_37,BODWF,NSW1,operating,BODWF1,wind,113.0
Bodangora,nem_402,BODWF1,NSW1,operating,BODWF1,wind,113.19
Bomen,nem_39,BOMENSF,NSW1,operating,BOMENSF1,solar_utility,121.0
Bomen,nem_403,BOMENSF1,NSW1,committed,BOMENSF1,solar_utility,121.0
Broadwater,nem_49,BWTR1,NSW1,operating,BWTR1,bioenergy_biogas,38.0
Broadwater,nem_410,BWTR1,NSW1,operating,BWTR1,bioenergy_biomass,
Broadwater,nem_410,BWTR1,NSW1,operating,BWTR1,bioenergy_biomass,38.0
Broken Hill,nem_30,BHILLGT,NSW1,operating,GB01,distillate,50.0
Broken Hill,nem_43,BROKENH,NSW1,operating,BROKENH1,solar_utility,27.0
Broken Hill,nem_355,BROKENH1,NSW1,operating,BROKENH1,solar_utility,53.76
Brown Mountain,nem_45,BROWNMT,NSW1,operating,BROWNMT,hydro,5.0
Burrendong,nem_26,BDONGHYD,NSW1,operating,BDONGHYD,hydro,19.0
Burrinjuck,nem_47,BURRIN,NSW1,operating,BURRIN,hydro,27.0
Capital,nem_52,CAPTL_WF,NSW1,operating,CAPTL_WF,wind,140.0
Capital,nem_543,CAPTL_WF,NSW1,operating,CAPTL_WF,wind,140.0
Capital East,nem_55,CESF,NSW1,operating,CESF1,solar_utility,1.0
Capital East,nem_542,CESF1,NSW1,operating,CESF1,solar_utility,0.205
Capital East,nem_542,CESF1,NSW1,operating,CESF1,solar_utility,
Capital East,nem_542,CESF1,NSW1,operating,CESF1,solar_utility,
Chillamurra,nem_692,,NSW1,operating,,solar_utility,4.77
Club Merrylands,nem_695,,NSW1,operating,,distillate,
Coleambally,nem_68,COLEASF,NSW1,operating,COLEASF1,solar_utility,180.0
Coleambally,nem_421,COLEASF1,NSW1,operating,COLEASF1,solar_utility,180.0
Collector,nem_697,,NSW1,committed,,wind,226.8
Colongra,nem_70,COLONGRA,NSW1,operating,CG3,gas_ocgt,181.0
Colongra,nem_70,COLONGRA,NSW1,operating,CG4,gas_ocgt,181.0
Colongra,nem_70,COLONGRA,NSW1,operating,CG1,gas_ocgt,181.0
Colongra,nem_70,COLONGRA,NSW1,operating,CG2,gas_ocgt,181.0
Condong,nem_71,CONDONG1,NSW1,operating,CONDONG1,bioenergy_biogas,30.0
Condong,nem_411,CONDONG1,NSW1,operating,CONDONG1,bioenergy_biomass,30.0
Copeton,nem_73,COPTNHYD,NSW1,operating,COPTNHYD,hydro,22.5
Crookwell,nem_347,CROOKWEL,NSW1,operating,CROOKWEL,wind,4.8
Crookwell,nem_698,,NSW1,operating,,wind,4.8
Crookwell 2,nem_76,CROOKWF2,NSW1,operating,CROOKWF2,wind,96.0
Crookwell 2,nem_423,CROOKWF2,NSW1,operating,CROOKWF2,wind,96.04
Crudine Ridge,nem_699,,NSW1,committed,,wind,138.01
Cullerin Range,nem_80,CULLERIN,NSW1,operating,CULLRGWF,wind,30.0
Cullerin Range,nem_427,CULLRGWF,NSW1,operating,CULLRGWF,wind,30.0
Darlington Point,nem_700,,NSW1,committed,,solar_utility,274.968
De Bortoli Wines,nem_701,,NSW1,operating,,solar_utility,0.23
Drayton's Family Wines,nem_703,,NSW1,operating,,solar_utility,0.2
Earthpower Biomass,nem_224,PMATTAEP,NSW1,retired,PMATTAEP,gas_recip,4.0
Eastern Creek,nem_91,EASTCRK,NSW1,operating,EASTCRK,bioenergy_biogas,5.0
Eastern Creek 2,nem_92,EASTCRK2,NSW1,operating,EASTCRK2,bioenergy_biogas,8.984
Eastern Creek 2 Utilisation Facility,nem_556,EASTCRK2,NSW1,operating,EASTCRK2,bioenergy_biomass,8.984
Eastern Creek Ps,nem_455,EASTCRK,NSW1,operating,EASTCRK,bioenergy_biomass,5.056
Eraring,nem_99,ERARING,NSW1,operating,ER03,coal_black,720.0
Eraring,nem_99,ERARING,NSW1,operating,ER01,coal_black,720.0
Eraring,nem_99,ERARING,NSW1,operating,ER02,coal_black,720.0
Eraring,nem_99,ERARING,NSW1,operating,ER04,coal_black,720.0
Eraring,nem_100,ERGT01,NSW1,operating,ERGT01,distillate,42.0
Finley,nem_101,FINLEYSF,NSW1,operating,FINLYSF1,solar_utility,162.0
Finley,nem_493,FINLYSF1,NSW1,operating,FINLYSF1,solar_utility,162.36
Glenbawn,nem_108,GLBWNHYD,NSW1,operating,GLBWNHYD,hydro,5.5
Glennies Creek,nem_110,GLENNCRK,NSW1,operating,GLENNCRK,gas_wcmg,12.0
Goonumbla,nem_111,GOONSF,NSW1,operating,GOONSF1,solar_utility,85.0
Goonumbla,nem_497,GOONSF1,NSW1,committed,GOONSF1,solar_utility,85.0
Grange Avenue,nem_113,GRANGEAV,NSW1,operating,GRANGEAV,bioenergy_biogas,2.0
Grange Avenue Landfill,nem_456,GRANGEAV,NSW1,operating,GRANGEAV,bioenergy_biomass,2.0
Griffith,nem_115,GRIFSF,NSW1,operating,GRIFSF1,solar_utility,27.0
Griffith,nem_500,GRIFSF1,NSW1,operating,GRIFSF1,solar_utility,27.2
Gullen Range,nem_118,GULLRGWF,NSW1,operating,GULLRWF2,wind,110.0
Gullen Range,nem_118,GULLRGWF,NSW1,operating,GULLRSF1,solar_utility,10.0
Gullen Range,nem_118,GULLRGWF,NSW1,operating,GULLRWF1,wind,165.0
Gullen Range,nem_572,GULLRSF1,NSW1,operating,GULLRSF1,solar_utility,10.0
Gullen Range,nem_573,GULLRWF1,NSW1,operating,GULLRWF1,wind,
Gullen Range,nem_573,GULLRWF1,NSW1,operating,GULLRWF2,wind,
Gullen Range,nem_573,GULLRWF1,NSW1,operating,GULLRWF1,wind,275.5
Gunning,nem_119,GUNNING,NSW1,operating,GUNNING1,wind,47.0
Gunning,nem_505,GUNNING1,NSW1,operating,GUNNING1,wind,46.5
Guthega,nem_260,SNOWY3,NSW1,operating,GUTHEGA,hydro,60.0
Hampton,nem_348,HAMPTON,NSW1,operating,HAMPTON,wind,1.32
Horsley Park,nem_702,,NSW1,operating,,solar_utility,0.1
Hume,nem_136,HUMENSW,NSW1,operating,HUMENSW,hydro,29.0
Hunter Economic Zone,nem_128,HEZ,NSW1,retired,HEZ,distillate,29.0
Hunter Valley,nem_138,HUNTVGT,NSW1,operating,HVGTS,distillate,50.0
Jacks Gully,nem_141,JACKSGUL,NSW1,operating,JACKSGUL,bioenergy_biogas,2.0
Jacks Gully Landfill,nem_457,JACKSGUL,NSW1,operating,JACKSGUL,bioenergy_biomass,2.3
Jindabyne,nem_145,JNDSHPS,NSW1,operating,JNDABNE1,hydro,1.0
Jounama,nem_146,JOUNAMA,NSW1,operating,JOUNAMA1,hydro,14.0
Keepit,nem_149,KEEPIT,NSW1,operating,KEEPIT,hydro,6.0
Kemps Creek,nem_3,AGLSITA,NSW1,operating,AGLSITA1,bioenergy_biogas,1.0
Kincumber,nem_151,KINCUMB,NSW1,operating,KINCUM1,bioenergy_biogas,1.0
Kincumber Landfill Site,nem_363,KINCUM1,NSW1,operating,KINCUM1,bioenergy_biomass,1.064
Lake Macquarie Community,nem_724,,NSW1,operating,,solar_utility,0.0788
Liddell,nem_159,LIDDELL,NSW1,operating,LD04,coal_black,500.0
Liddell,nem_159,LIDDELL,NSW1,operating,LD02,coal_black,500.0
Liddell,nem_159,LIDDELL,NSW1,operating,LD03,coal_black,500.0
Liddell,nem_159,LIDDELL,NSW1,operating,LD01,coal_black,500.0
Limondale,nem_349,LIMOSF1,NSW1,operating,LIMOSF11,solar_utility,275.0
Limondale,nem_553,LIMOSF11,NSW1,operating,LIMOSF11,solar_utility,275.0
Limondale 2,nem_161,LIMOSF2,NSW1,operating,LIMOSF21,solar_utility,38.0
Limondale 2,nem_554,LIMOSF21,NSW1,operating,LIMOSF21,solar_utility,38.0
Lucas Heights 2,nem_173,LUCAS2S2,NSW1,operating,LUCAS2S2,bioenergy_biogas,5.0
Lucas Heights 2,nem_174,LUCASHGT,NSW1,operating,LUCASHGT,bioenergy_biogas,12.65
Lucas Heights 2,nem_458,LUCAS2S2,NSW1,operating,LUCAS2S2,bioenergy_biomass,4.6
Lucas Heights 2,nem_458,LUCAS2S2,NSW1,operating,LUCASHGT,bioenergy_biomass,12.65
Lucas Heights I,nem_726,,NSW1,operating,,bioenergy_biogas,2.3
Lucas Heights I,nem_726,,NSW1,operating,,bioenergy_biogas,3.09
Manildra,nem_178,MANSLR,NSW1,operating,MANSLR1,solar_utility,25.0
Manildra,nem_562,MANSLR1,NSW1,operating,MANSLR1,solar_utility,
Manildra,nem_562,MANSLR1,NSW1,operating,MANSLR1,solar_utility,50.0
Molong,nem_732,,NSW1,committed,,solar_utility,36.08
Moree,nem_192,MOREESF,NSW1,operating,MOREESF1,solar_utility,57.0
Moree,nem_564,MOREESF1,NSW1,operating,MOREESF1,solar_utility,57.064
Mount Majura,nem_735,,NSW1,operating,,solar_utility,2.3
Mt Piper,nem_195,MP,NSW1,operating,MP2,coal_black,700.0
Mt Piper,nem_195,MP,NSW1,operating,MP1,coal_black,700.0
Mugga Lane,nem_188,MLSP,NSW1,operating,MLSP1,solar_utility,12.0
Mugga Lane,nem_571,MLSP1,NSW1,operating,MLSP1,solar_utility,12.0
Munmorah,nem_190,MM,NSW1,retired,MM3,coal_black,300.0
Munmorah,nem_190,MM,NSW1,retired,MM4,coal_black,300.0
Narromine,nem_203,NASF,NSW1,operating,NASF1,solar_utility,10.0
Narromine,nem_440,NASF1,NSW1,operating,NASF1,solar_utility,10.0
Nevertire,nem_205,NEVERSF,NSW1,commissioning,NEVERSF1,solar_utility,132.0
Nevertire,nem_471,NEVERSF1,NSW1,operating,NEVERSF1,solar_utility,132.0
Nymboida,nem_743,,NSW1,operating,,hydro,0.686
Nyngan,nem_211,NYNGAN,NSW1,operating,NYNGAN1,solar_utility,102.0
Nyngan,nem_366,NYNGAN1,NSW1,operating,NYNGAN1,solar_utility,102.141
Oaky,nem_744,,NSW1,operating,,hydro,2.4
Parkes,nem_228,PSF,NSW1,operating,PARSF1,solar_utility,55.0
Parkes,nem_598,PARSF1,NSW1,operating,PARSF1,solar_utility,55.0
Parkes Shire Council,nem_745,,NSW1,operating,,solar_utility,0.1074
Parkes Shire Council,nem_745,,NSW1,operating,,solar_utility,0.1074
Penrith RSL,nem_747,,NSW1,operating,,solar_utility,0.1999
Pindari,nem_221,PINDARI,NSW1,operating,PINDARI,hydro,6.0
Proten,nem_751,,NSW1,operating,,solar_utility,0.2499
Proten,nem_751,,NSW1,operating,,solar_utility,0.3567
Proten,nem_751,,NSW1,operating,,solar_utility,0.3588
Proten,nem_751,,NSW1,operating,,solar_utility,1.211
Redbank,nem_234,REDBANK1,NSW1,retired,REDBANK1,coal_black,150.0
Revesby Workers Club,nem_753,,NSW1,operating,,distillate,
Royalla,nem_241,ROYALLA,NSW1,operating,ROYALLA1,solar_utility,20.0
Royalla,nem_607,ROYALLA1,NSW1,operating,ROYALLA1,solar_utility,20.0
Sapphire,nem_247,SAPHWF1,NSW1,operating,SAPHWF1,wind,270.0
Sapphire,nem_651,SAPHWF1,NSW1,operating,SAPHWF1,wind,270.0
Shoalhaven,nem_251,SHOALHAV,NSW1,operating,SHGEN,hydro,240.0
Shoalhaven,nem_251,SHOALHAV,NSW1,operating,SHPUMP,pumps,240.0
Silverton,nem_271,STWF,NSW1,operating,STWF1,wind,198.0
Silverton,nem_380,STWF1,NSW1,operating,STWF1,wind,198.94
Smithfield,nem_252,SITHE,NSW1,operating,SITHE01,gas_ccgt,39.0
Snowy 2.0,nem_765,,NSW1,committed,,hydro,2040.0
South Keswick,nem_253,SKSF,NSW1,operating,SKSF1,solar_utility,15.0
South Keswick,nem_441,SKSF1,NSW1,operating,SKSF1,solar_utility,15.0
St George Leagues Club,nem_269,STGEORGE,NSW1,operating,STGEORG1,distillate,1.0
St George Leagues Club Kogarah,nem_768,,NSW1,operating,,distillate,1.34
St George Leagues Club Kogarah,nem_768,,NSW1,operating,,distillate,0.8
Summer Hill,nem_773,,NSW1,operating,,bioenergy_biogas,2.246
Sunraysia,nem_774,,NSW1,committed,,solar_utility,228.8
Tahmoor,nem_275,TAHMOOR,NSW1,operating,TAHMOOR1,gas_wcmg,7.0
Tallawarra,nem_276,TALLAWAR,NSW1,operating,TALWA1,gas_ccgt,440.0
Taralga,nem_277,TARALGA,NSW1,operating,TARALGA1,wind,106.0
Taralga,nem_647,TARALGA1,NSW1,operating,TARALGA1,wind,
