name,oid,ocode,code,region,status,fueltech,unit_id,unit_num,station_cap_registered,craeted_by
Callide,A8P,au.nem.qld.callide,CALL_B_1,QLD1,operating,coal_black,,,785.0,
Callide,A8P,au.nem.qld.callide,CALL_B_2,QLD1,operating,coal_black,,,785.0,
Swanbank B,A88,au.nem.qld.swanbank,SWAN_E,QLD1,operating,gas_wcmg,,,385.0,
Mt Piper,A8R,au.nem.nsw.mp,MP1,NSW1,operating,coal_black,,,1425.0,
Mt Piper,A8R,au.nem.nsw.mp,MP2,NSW1,operating,coal_black,,,1425.0,
Munmorah,A8S,au.nem.nsw.mm,MM3,NSW1,retired,coal_black,,,,
Munmorah,A8S,au.nem.nsw.mm,MM4,NSW1,retired,coal_black,,,,
Vales Point B,A89,au.nem.nsw.vp,VP5,NSW1,operating,coal_black,,,1345.0,
Vales Point B,A89,au.nem.nsw.vp,VP6,NSW1,operating,coal_black,,,1345.0,
Wallerawang,A8W,au.nem.nsw.ww,WW7,NSW1,retired,coal_black,,,,
Wallerawang,A8W,au.nem.nsw.ww,WW8,NSW1,retired,coal_black,,,,
Jeeralang A,A8X,au.nem.vic.jeera,JLA01,VIC1,operating,gas_ocgt,,,204.0,
Jeeralang A,A8X,au.nem.vic.jeera,JLA02,VIC1,operating,gas_ocgt,,,204.0,
Jeeralang A,A8X,au.nem.vic.jeera,JLA03,VIC1,operating,gas_ocgt,,,204.0,
Jeeralang A,A8X,au.nem.vic.jeera,JLA04,VIC1,operating,gas_ocgt,,,204.0,
Jeeralang B,A8Y,au.nem.vic.jeerb,JLB01,VIC1,operating,gas_ocgt,,,228.0,
Jeeralang B,A8Y,au.nem.vic.jeerb,JLB02,VIC1,operating,gas_ocgt,,,228.0,
Jeeralang B,A8Y,au.nem.vic.jeerb,JLB03,VIC1,operating,gas_ocgt,,,228.0,
Newport,ARZ,au.nem.vic.newport,NPS,VIC1,operating,gas_steam,,,500.0,
Loy Yang B,ARA,au.nem.vic.loyyb,LOYYB1,VIC1,operating,coal_brown,,,1000.0,
Loy Yang B,ARA,au.nem.vic.loyyb,LOYYB2,VIC1,operating,coal_brown,,,1000.0,
Morwell,ARC,au.nem.vic.energyb,MOR1,VIC1,retired,coal_brown,,,,
Morwell,ARC,au.nem.vic.energyb,MOR2,VIC1,retired,coal_brown,,,,
Morwell,ARC,au.nem.vic.energyb,MOR3,VIC1,retired,coal_brown,,,,
Snuggery,AR2,au.nem.sa.snug,SNUG1,SA1,operating,distillate,,,130.0,
Snuggery,AR2,au.nem.sa.snug,SNUG2,SA1,operating,distillate,,,130.0,
Snuggery,AR2,au.nem.sa.snug,SNUG3,SA1,operating,distillate,,,130.0,
Snuggery,AR2,au.nem.sa.snug,SNUGNL1,SA1,operating,distillate,,,130.0,
Hazelwood,ARB,au.nem.vic.hazel,HWPS1,VIC1,retired,coal_brown,,,,
Hazelwood,ARB,au.nem.vic.hazel,HWPS2,VIC1,retired,coal_brown,,,,
