code,station_name,network_region,fueltech_id,capacity_registered,capacity_maximum
BLNKTAS,Basslink HVDC Link,TAS1,none,478.000,478.000
BLNKVIC,Basslink HVDC Link,VIC1,none,594.000,594.000
None,Jindabyne Pump At Guthega,VIC1,none,70.000,70.000
None,Portland,VIC1,none,450.000,509.000
None,Snuggery Power Station,SA1,none,21.000,21.000
SHPUMP,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,pumps,240.000,240.000
SHPUMP,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,pumps,,
SNOWYP,Tumut 3 Pumps,NSW1,pumps,600.000,600.000
PUMP1,Wivenhoe Power Station,QLD1,pumps,240.000,245.000
PUMP2,Wivenhoe Power Station,QLD1,pumps,240.000,245.000
DALNTHL1,Dalrymple North Battery Energy Storage System,SA1,battery_charging,30.000,30.000
HPRL1,Hornsdale Power Reserve,SA1,battery_charging,120.000,120.000
TABMILL2,"Tableland Mill, Unit 2",QLD1,biomass,24.000,17.000
None,Victoria Mill,QLD1,biomass,24.000,24.000
None,Victoria Mill,QLD1,biomass,,
VICMILL1,Victoria Mill,QLD1,biomass,24.000,24.000
PIONEER,Pioneer Sugar Mill,QLD1,biomass,68.000,68.000
BWTR1,Broadwater Power Station,NSW1,biomass,38.000,38.000
BWTR1,Broadwater Power Station,NSW1,biomass,,
CONDONG1,Condong Power Station,NSW1,biomass,30.000,30.000
INVICTA,Invicta Sugar Mill,QLD1,biomass,50.300,51.000
INVICTA,Invicta Sugar Mill,QLD1,biomass,,
INVICTA,Invicta Sugar Mill,QLD1,biomass,,
ICSM,ISIS Central Sugar Mill Co-generation Plant,QLD1,biomass,25.000,25.000
None,Pioneer Sugar Mill,QLD1,biomass,67.780,68.000
None,Pioneer Sugar Mill,QLD1,biomass,,
RACOMIL1,Racecourse Mill Power Station,QLD1,biomass,3.500,3.500
RACOMIL1,Racecourse Mill Power Station,QLD1,biomass,7.000,7.000
RACOMIL1,Racecourse Mill Power Station,QLD1,biomass,38.000,38.000
RPCG,Rocky Point Cogeneration Plant,QLD1,biomass,30.000,30.000
EDLRGNRD,Roghan Road LFG Power Plant,QLD1,biomass,2.000,2.000
SUNCOAST,Suncoast Gold Macadamias,QLD1,biomass,1.500,1.000
ROCHEDAL,Rochedale Renewable Energy Facility,QLD1,biomass,4.400,4.000
AGLSITA1,Agl Kemps Creek,NSW1,biomass,1.000,2.000
JACKSGUL,Jacks Gully Landfill Gas Power Station,NSW1,biomass,2.300,2.000
KINCUM1,Kincumber Landfill Site,NSW1,biomass,1.064,1.000
LUCAS2S2,Lucas Heights 2 Power Station,NSW1,biomass,4.600,5.000
MORNW,Mornington Waste Disposal Facility,VIC1,biomass,1.000,1.000
TITREE,Veolia Ti Tree Bio Reactor,QLD1,biomass,2.000,2.000
AGLNOW1,West Nowra Landfill Gas Power Generation Facility,NSW1,biomass,1.000,1.000
WHIT1,Whitwood Road Renewable Energy Facility,QLD1,biomass,1.000,1.000
WDLNGN01,Woodlawn Bioreactor Energy Generation Station,NSW1,biomass,7.000,7.000
WDLNGN01,Woodlawn Bioreactor Energy Generation Station,NSW1,biomass,,
WYNDW,Wyndham Waste Disposal Facility,VIC1,biomass,1.000,1.000
HIGHBRY1,Highbury Landfill Gas Power Station Unit 1,SA1,biomass,2.000,2.000
TEATREE1,Tea Tree Gully Landfill Gas Power Station Unit 1,SA1,biomass,1.000,1.000
BERWICK,Berwick Power Plant,VIC1,biomass,7.000,7.000
PEDLER1,Pedler Creek Landfill Gas Power Station Units 1-3,SA1,biomass,3.000,3.000
WING1_1,Wingfield 1 Landfill Gas Power Station Units 1-4,SA1,biomass,5.000,5.000
WING2_1,Wingfield 2 Landfill Gas Power Station Units 1-4,SA1,biomass,5.000,5.000
HALLAMRD1,Hallam Road Renewable Energy Facility,VIC1,biomass,8.984,9.000
AWABAREF,Awaba Power Station,NSW1,biomass,1.123,1.000
REMOUNT,Remount Power Station,TAS1,biomass,2.000,2.000
None,Berwick Power Plant,VIC1,biomass,7.200,7.000
BROADMDW,Broadmeadows Landfill Gas Power Station,VIC1,biomass,5.000,5.000
BROOKLYN,Brooklyn LFG U1-3,VIC1,biomass,2.830,3.000
BROOKLYN,Brooklyn LFG U1-3,VIC1,biomass,,
BROOKLYN,Brooklyn LFG U1-3,VIC1,biomass,,
BPLANDF1,Browns Plains Landfill Gas PS,QLD1,biomass,2.000,2.000
CLAYTON,Clayton Landfill Gas Power Station,VIC1,biomass,11.000,11.000
CORIO1,Corio Landfill Gas Power Station,VIC1,biomass,1.000,1.000
