fuel_source,fuel_source_desc,tech,tech_desc,fueltech_map,load_type
Battery storage,Grid,Storage,Battery,battery_discharging,generator
Battery storage,Wind,Storage,Battery and Inverter,battery_discharging,generator
Fossil,Black Coal,Combustion,Steam Sub-Critical,coal_black,generator
Fossil,Black Coal,Combustion,Steam Super Critical,coal_black,generator
Fossil,Brown Coal,Combustion,Steam Sub-Critical,coal_brown,generator
Fossil,Coal Seam Methane,Combustion,Compression Reciprocating Engine,gas_wcmg,generator
Fossil,Coal Seam Methane,Combustion,Open Cycle Gas turbines (OCGT),gas_wcmg,generator
Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,gas_wcmg,generator
Fossil,Diesel,Combustion,Compression Reciprocating Engine,distillate,generator
Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),distillate,generator
Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),distillate,generator
Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),gas_ccgt,generator
Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,gas_recip,generator
Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),gas_ocgt,generator
Fossil,Natural Gas,Combustion,Spark Ignition Reciprocating Engine,gas_recip,generator
Fossil,Natural Gas,Combustion,Steam Sub-Critical,gas_steam,generator
Fossil,Natural Gas / Diesel,Combustion,Open Cycle Gas turbines (OCGT),gas_ocgt,generator
Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,gas_steam,generator
Fossil,Waste Coal Mine Gas,Combustion,Compression Reciprocating Engine,gas_wcmg,generator
Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,gas_wcmg,generator
Hydro,Water,Renewable,Hydro - Gravity,hydro,generator
Hydro,Water,Renewable,Pump Storage,pumps,generator
Hydro,Water,Renewable,Run of River,hydro,generator
Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,bioenergy_biomass,generator
Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Super Critical,bioenergy_biomass,generator
Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,bioenergy_biogas,generator
Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,bioenergy_biogas,generator
Renewable/ Biomass / Waste,Sewerage / Waste Water,Combustion,Compression Reciprocating Engine,bioenergy_biomass,generator
Renewable/ Biomass / Waste,Sewerage / Waste Water,Renewable,Pump Storage,pumps,generator
