network_id,network_region,facility_code,station_name,fueltech_id,status_id,emissions_factor_co2,emission_factor_source
NEM,NSW1,AGLNOW1,West Nowra,bioenergy_biogas,operating,0.062,AEMO
NEM,NSW1,AGLSITA1,Kemps Creek,bioenergy_biogas,operating,0.062,AEMO
NEM,NSW1,APPIN,Appin,gas_wcmg,operating,0.765,AEMO
NEM,NSW1,AWABAREF,Awaba,bioenergy_biogas,retired,0.062,AEMO
NEM,NSW1,BANKSPT1,Bankstown Sports Club,distillate,retired,0.708,AEMO
NEM,NSW1,BW01,Bayswater,coal_black,operating,0.912643,AEMO
NEM,NSW1,BW02,Bayswater,coal_black,operating,0.912643,AEMO
NEM,NSW1,BW03,Bayswater,coal_black,operating,0.912643,AEMO
NEM,NSW1,BW04,Bayswater,coal_black,operating,0.912643,AEMO
NEM,NSW1,BWTR1,Broadwater,bioenergy_biogas,operating,0.018,AEMO
NEM,NSW1,CG1,Colongra,gas_ocgt,operating,0.78256,AEMO
NEM,NSW1,CG2,Colongra,gas_ocgt,operating,0.78256,AEMO
NEM,NSW1,CG3,Colongra,gas_ocgt,operating,0.78256,AEMO
NEM,NSW1,CG4,Colongra,gas_ocgt,operating,0.78256,AEMO
NEM,NSW1,CONDONG1,Condong,bioenergy_biogas,operating,0.018,AEMO
NEM,NSW1,EASTCRK,Eastern Creek,bioenergy_biogas,operating,0.062,AEMO
NEM,NSW1,EASTCRK2,Eastern Creek 2,bioenergy_biogas,operating,0.062,AEMO
NEM,NSW1,ER01,Eraring,coal_black,operating,0.910143,AEMO
NEM,NSW1,ER02,Eraring,coal_black,operating,0.910143,AEMO
NEM,NSW1,ER03,Eraring,coal_black,operating,0.910143,AEMO
NEM,NSW1,ER04,Eraring,coal_black,operating,0.910143,AEMO
NEM,NSW1,ERGT01,Eraring,distillate,operating,,On the exclusion list
NEM,NSW1,GB01,Broken Hill,distillate,operating,0.706,AEMO
NEM,NSW1,GLENNCRK,Glennies Creek,gas_wcmg,operating,0.716,AEMO
NEM,NSW1,GRANGEAV,Grange Avenue,bioenergy_biogas,operating,0.062,AEMO
NEM,NSW1,HEZ,Hunter Economic Zone,distillate,retired,0.771429,AEMO
NEM,NSW1,HVGTS,Hunter Valley,distillate,operating,,
NEM,NSW1,JACKSGUL,Jacks Gully,bioenergy_biogas,operating,0.062,AEMO
NEM,NSW1,KINCUM1,Kincumber,bioenergy_biogas,operating,0.062,AEMO
