station_name,network_region,facility_code,emissions_factor_co2,fueltech_id,
Bayswater,NSW1,BW02,0.912643,coal_black,
Bayswater,NSW1,BW01,0.912643,coal_black,
Bayswater,NSW1,BW04,0.912643,coal_black,
Bayswater,NSW1,BW03,0.912643,coal_black,
Broadwater,NSW1,BWTR1,0.018,bioenergy_biogas,
Colongra,NSW1,CG2,0.78256,gas_ocgt,
Colongra,NSW1,CG1,0.78256,gas_ocgt,
Colongra,NSW1,CG4,0.78256,gas_ocgt,
Colongra,NSW1,CG3,0.78256,gas_ocgt,
Condong,NSW1,CONDONG1,0.018,bioenergy_biogas,
Eastern Creek,NSW1,EASTCRK,0.062,bioenergy_biogas,
Eastern Creek 2,NSW1,EASTCRK2,0.062,bioenergy_biogas,
Eraring,NSW1,ER03,0.910143,coal_black,
Eraring,NSW1,ER04,0.910143,coal_black,
Eraring,NSW1,ER02,0.910143,coal_black,
Eraring,NSW1,ER01,0.910143,coal_black,
Grange Avenue,NSW1,GRANGEAV,0.062,bioenergy_biogas,
Jacks Gully,NSW1,JACKSGUL,0.062,bioenergy_biogas,
Kemps Creek,NSW1,AGLSITA1,0.062,bioenergy_biogas,
Kincumber,NSW1,KINCUM1,0.062,bioenergy_biogas,
Liddell,NSW1,LD02,0.980592,coal_black,
Liddell,NSW1,LD03,0.980592,coal_black,
Liddell,NSW1,LD04,0.980592,coal_black,
Liddell,NSW1,LD01,0.980592,coal_black,
Lucas Heights 2,NSW1,LUCAS2S2,0.062,bioenergy_biogas,
Mt Piper,NSW1,MP1,0.908518,coal_black,
Mt Piper,NSW1,MP2,0.908518,coal_black,
Smithfield,NSW1,SITHE01,0.58774,gas_ccgt,
Tallawarra,NSW1,TALWA1,0.58774,gas_ccgt,
Uranquinty,NSW1,URANQ12,0.724272,gas_ocgt,
Uranquinty,NSW1,URANQ11,0.724272,gas_ocgt,
Uranquinty,NSW1,URANQ13,0.724272,gas_ocgt,
Uranquinty,NSW1,URANQ14,0.724272,gas_ocgt,
Vales Point B,NSW1,VP5,0.908305,coal_black,
Vales Point B,NSW1,VP6,0.908305,coal_black,
West Nowra,NSW1,AGLNOW1,0.062,bioenergy_biogas,
Woodlawn Bioreactor,NSW1,WDLNGN01,0.062,bioenergy_biogas,
Woy Woy,NSW1,WOYWOY1,0.062,bioenergy_biogas,
Barcaldine,QLD1,BARCALDN,1.099239,gas_ccgt,
Braemar,QLD1,BRAEMAR1,0.663142,gas_ocgt,
Braemar,QLD1,BRAEMAR2,0.663142,gas_ocgt,
Braemar,QLD1,BRAEMAR3,0.663142,gas_ocgt,
Braemar 2,QLD1,BRAEMAR6,0.663142,gas_ocgt,
Braemar 2,QLD1,BRAEMAR5,0.663142,gas_ocgt,
Braemar 2,QLD1,BRAEMAR7,0.663142,gas_ocgt,
Browns Plains,QLD1,BPLANDF1,0.062,bioenergy_biogas,
Callide B,QLD1,CALL_B_2,0.931343,coal_black,
Callide B,QLD1,CALL_B_1,0.931343,coal_black,
Callide C,QLD1,CPP_3,0.931343,coal_black,
Callide C,QLD1,CPP_4,0.931343,coal_black,
Condamine  A,QLD1,CPSA,0.663142,gas_ccgt,
Darling Downs,QLD1,DDPS1,0.477585,gas_ccgt,
Gladstone,QLD1,GSTONE5,0.971761,coal_black,
Gladstone,QLD1,GSTONE3,0.971761,coal_black,
Gladstone,QLD1,GSTONE6,0.971761,coal_black,
Gladstone,QLD1,GSTONE4,0.971761,coal_black,
Gladstone,QLD1,GSTONE1,0.971761,coal_black,
Gladstone,QLD1,GSTONE2,0.971761,coal_black,
Invicta Sugar Mill,QLD1,INVICTA,0.018,bioenergy_biomass,
