code,name,network_id,network_region,fueltech_id,wikidata_id
AMBRISOLAR,Ambrisolar,WEM,WEM,solar_utility,
AMCORGR,Amcor Glass,NEM,SA1,distillate,
APS,Angelsea,NEM,VIC1,coal_brown,
APPIN,Appin,NEM,NSW1,gas_recip,
ATLAS,Atlas,WEM,WEM,bioenergy_biogas,
AWABAREF,Awaba,NEM,NSW1,bioenergy_biomass,
BADGINGARRA,Badgingarra,WEM,WEM,wind,Q104637674
BAKING,Baking Board,NEM,QLD1,solar_utility,
BALBESS,Ballarat Battery,NEM,VIC1,battery_charging,Q69243821
BBASEHOS,Ballarat Hospital,NEM,VIC1,distillate,
BANGOWF,Bango Wind Farm,NEM,NSW1,wind,
BAPS,Banimboola,NEM,VIC1,hydro,Q4855770
BANKSPT,Bankstown Sports Club,NEM,NSW1,distillate,
BARCALDN,Barcaldine,NEM,QLD1,gas_ccgt,Q4859822
BARCSF,Barcaldine,NEM,QLD1,solar_utility,
BARRON,Barron Gorge,NEM,QLD1,hydro,Q4863807
BBDISEL1,Bell Bay,NEM,TAS1,distillate,
BELLBAY,Bell Bay,NEM,TAS1,gas_steam,Q4883121
BBP31,Bell Bay Three,NEM,TAS1,gas_ocgt,
BERWICK,Berwick,NEM,VIC1,bioenergy_biomass,
BERYLSF,Beryl,NEM,NSW1,solar_utility,
SNOWY6,Blowering,NEM,NSW1,hydro,
BLULAKE,Blue Lake Milling,NEM,SA1,distillate,
MCKAY,Bogong/Mackay,NEM,VIC1,hydro,
BOLIVAR,Bolivar Waste Water Treatment,NEM,SA1,bioenergy_biogas,
BOMENSF,Bomen,NEM,NSW1,solar_utility,
BRAEMARA,Braemar,NEM,QLD1,gas_ocgt,
B2PS,Braemar 2,NEM,QLD1,gas_ocgt,
BREMER_BAY,Bremer Bay,WEM,WEM,wind,
BRIDGETOWN_BIOMASS_PLANT,Bridgetown,WEM,WEM,bioenergy_biomass,
BROADMDW,Broadmeadows,NEM,VIC1,bioenergy_biomass,
BWTR1,Broadwater,NEM,NSW1,bioenergy_biomass,
BHILLGT,Broken Hill,NEM,NSW1,distillate,
BROKENH,Broken Hill,NEM,NSW1,solar_utility,Q81864527
BROOKLYN,Brooklyn,NEM,VIC1,bioenergy_biomass,
BROWNMT,Brown Mountain,NEM,NSW1,hydro,
BPLANDF,Browns Plains,NEM,QLD1,bioenergy_biomass,
BULGREPOWER,Bulgana Green Power Hub - Units,NEM,VIC1,wind,Q74520480
BNGSF1,Bungala One,NEM,SA1,solar_utility,
BNGSF2,Bungala Two,NEM,SA1,solar_utility,
BDONGHYD,Burrendong,NEM,NSW1,hydro,Q4997819
CALL_A,Callide A,NEM,QLD1,coal_black,Q2944656
CALL_B,Callide B,NEM,QLD1,coal_black,Q2944656
CALLIDEC1,Callide C,NEM,QLD1,coal_black,Q2944656
CESF,Capital East,NEM,NSW1,solar_utility,Q5035686
LI_WY_CA,Catagunya/Liapootah/Wayatinah,NEM,TAS1,distillate,Q5051199
LI_WY_CA,Catagunya/Liapootah/Wayatinah,NEM,TAS1,hydro,Q5051199
CHPSTWF,Chepstowe,NEM,VIC1,wind,
CHYTWF,Cherry Tree,NEM,VIC1,wind,
CHILDSF,Childers,NEM,QLD1,solar_utility,
CLARESF,Clare,NEM,QLD1,solar_utility,
CLAYTON,Clayton,NEM,VIC1,bioenergy_biomass,
BIOGAS01,Cleantech Biogas,WEM,WEM,bioenergy_biogas,
CLERMSF,Clermont,NEM,QLD1,solar_utility,
CLOVER,Clover,NEM,VIC1,hydro,
COHUNSF1,Cohuna Solar Farm,NEM,VIC1,solar_utility,
COLWF01,Collector Wind Farm 1,NEM,NSW1,wind,
COLLIE,Collie G1,WEM,WEM,coal_black,Q5147151
COLNSV,Collinsville,NEM,QLD1,coal_black,Q5147465
CSPVPS,Collinsville,NEM,QLD1,solar_utility,
