trading_day,network_region,energy_v2,market_value,energy_v3
2005-04-01,NSW1,0.0,0.0,
2005-05-01,NSW1,0.0,0.0,
2005-06-01,NSW1,0.0,0.0,
2005-07-01,NSW1,0.0,0.0,
2005-08-01,NSW1,0.0,0.0,
2005-09-01,NSW1,0.0,0.0,
2005-10-01,NSW1,0.0,0.0,
2005-11-01,NSW1,0.0,0.0,
2005-12-01,NSW1,0.0,0.0,
2006-01-01,NSW1,0.0,0.0,
2006-02-01,NSW1,0.0,0.0,
2006-03-01,NSW1,0.0,0.0,
2006-04-01,NSW1,0.0,0.0,
2006-05-01,NSW1,0.0,0.0,
2006-06-01,NSW1,0.0,0.0,
2006-07-01,NSW1,0.0,0.0,
2006-08-01,NSW1,0.0,0.0,
2006-09-01,NSW1,0.0,0.0,
2006-10-01,NSW1,0.0,0.0,
2006-11-01,NSW1,0.0,0.0,
2006-12-01,NSW1,0.0,0.0,
2007-01-01,NSW1,0.00345,0.0,
2007-02-01,NSW1,0.007991,0.0,
2007-03-01,NSW1,0.01133,0.0,
2007-04-01,NSW1,0.01486,0.0,
2007-05-01,NSW1,0.01734,0.0,
2007-06-01,NSW1,0.01759,0.0,
2007-07-01,NSW1,0.02638,0.0,
2007-08-01,NSW1,0.03709,0.0,
2007-09-01,NSW1,0.08652,0.0,
2007-10-01,NSW1,0.1044,0.0,
2007-11-01,NSW1,0.1396,0.0,
2007-12-01,NSW1,0.182,0.0,
2008-01-01,NSW1,0.2191,0.0,
2008-02-01,NSW1,0.2216,0.0,
2008-03-01,NSW1,0.221,0.0,
2008-04-01,NSW1,0.2357,0.0,
2008-05-01,NSW1,0.2326,0.0,
2008-06-01,NSW1,0.1999,0.0,
2008-07-01,NSW1,0.2315,0.0,
2008-08-01,NSW1,0.2654,0.0,
2008-09-01,NSW1,0.5126,0.0,
2008-10-01,NSW1,0.5415,0.0,
2008-11-01,NSW1,0.6615,0.0,
2008-12-01,NSW1,0.8054,0.0,
2009-01-01,NSW1,0.8824,0.0,
2009-02-01,NSW1,0.8701,0.0,
2009-03-01,NSW1,0.8639,0.0,
2009-04-01,NSW1,0.9234,0.0,
2009-05-01,NSW1,0.9024,0.0,
2009-06-01,NSW1,0.7851,0.0,
2009-07-01,NSW1,0.9052,0.0,
2009-08-01,NSW1,1.064,0.0,
2009-09-01,NSW1,2.119,0.0,
2009-10-01,NSW1,2.294,0.0,
2009-11-01,NSW1,2.924,0.0,
2009-12-01,NSW1,3.529,0.0,
2010-01-01,NSW1,3.876,0.0,
