facility_code,network_region,fueltech_id
AGLHAL,SA1,gas_ocgt
AGLNOW1,NSW1,biomass
AGLSITA1,NSW1,biomass
AGLSOM,VIC1,gas_ocgt
AMCORGR,SA1,distillate
ANGAS1,SA1,distillate
ANGAS2,SA1,distillate
ANGAST1,SA1,distillate
APPIN,NSW1,gas_recip
APS,VIC1,brown_coal
ARWF1,VIC1,wind
AWABAREF,NSW1,biomass
BAKING1,QLD1,solar
BALBG1,VIC1,battery_discharging
BALDHWF1,VIC1,wind
BANGOWF1,NSW1,wind
BANKSPT1,NSW1,distillate
BANN1,VIC1,solar
BAPS,VIC1,hydro
BARCALDN,QLD1,gas_ccgt
BARCSF1,QLD1,solar
BARKIPS1,SA1,gas_recip
BARRON-1,QLD1,hydro
BARRON-2,QLD1,hydro
BASTYAN,TAS1,hydro
BBASEHOS,VIC1,distillate
BBASEHOS,VIC1,gas_recip
BBDISEL1,TAS1,distillate
BBTHREE1,TAS1,gas_ocgt
BBTHREE2,TAS1,gas_ocgt
BBTHREE3,TAS1,gas_ocgt
BDL01,VIC1,gas_ocgt
BDL02,VIC1,gas_ocgt
BDONGHYD,NSW1,hydro
BERWICK,VIC1,biomass
BERYLSF1,NSW1,solar
BLNKTAS,TAS1,none
BLNKVIC,VIC1,none
BLOWERNG,NSW1,hydro
BLUFF1,SA1,wind
BLULAKE1,SA1,distillate
BNGSF1,SA1,solar
BNGSF2,SA1,solar
BOCORWF1,NSW1,wind
BODWF1,NSW1,wind
BOMENSF1,NSW1,solar
BPLANDF1,QLD1,biomass
BRAEMAR1,QLD1,gas_ocgt
BRAEMAR2,QLD1,gas_ocgt
BRAEMAR3,QLD1,gas_ocgt
BRAEMAR5,QLD1,gas_ocgt
BRAEMAR6,QLD1,gas_ocgt
BRAEMAR7,QLD1,gas_ocgt
BROADMDW,VIC1,biomass
BROKENH1,NSW1,solar
BROOKLYN,VIC1,biomass
BROWNMT,NSW1,hydro
BULGANA1,VIC1,wind
BURRIN,NSW1,hydro
BUTLERSG,TAS1,hydro
BW01,NSW1,black_coal
BW02,NSW1,black_coal
BW03,NSW1,black_coal
BW04,NSW1,black_coal
BWTR1,NSW1,biomass
CALL_A_4,QLD1,black_coal
CALL_B_1,QLD1,black_coal
CALL_B_2,QLD1,black_coal
CAPTL_WF,NSW1,wind
CATAGUN1,TAS1,distillate
CATHROCK,SA1,wind
CBWF1,VIC1,wind
CESF1,NSW1,solar
CETHANA,TAS1,hydro
CG1,NSW1,gas_ocgt
CG2,NSW1,gas_ocgt
CG3,NSW1,gas_ocgt
CG4,NSW1,gas_ocgt
CHALLHWF,VIC1,wind
CHILDSF1,QLD1,solar
CHPSTWF1,VIC1,wind
CHYTWF1,VIC1,wind
CLARESF1,QLD1,solar
CLAYTON,VIC1,biomass
CLEMGPWF,SA1,wind
CLERMSF1,QLD1,solar
CLOVER,VIC1,hydro
CLUNY,TAS1,hydro
CNUNDAWF,SA1,wind
CODRNGTON,VIC1,wind
COHUNA,VIC1,solar
COLEASF1,NSW1,solar
COLWF01,NSW1,wind
CONDONG1,NSW1,biomass
COOPGWF1,QLD1,wind
COPTNHYD,NSW1,hydro
CORIO1,VIC1,biomass
CPP_3,QLD1,black_coal
CPP_4,QLD1,black_coal
CPSA,QLD1,gas_ccgt
CROOKWF2,NSW1,wind
CROWLWF1,VIC1,wind
CRURWF1,NSW1,wind
CSPVPS,QLD1,solar
CSPVPS1,QLD1,solar
CTHLWF1,TAS1,wind
CULLRGWF,NSW1,wind
DAANDINE,QLD1,gas_recip
DALNTH01,SA1,battery_discharging
DALNTHL1,SA1,battery_charging
DARLSF1,NSW1,solar
DARTM1,VIC1,hydro
DAYDSF1,QLD1,solar
DAYDSF2,QLD1,solar
DDPS1,QLD1,gas_ccgt
DDSF1,QLD1,solar
DEVILS_G,TAS1,hydro
DRYCGT1,SA1,gas_ocgt
DRYCGT2,SA1,gas_ocgt
DRYCGT3,SA1,gas_ocgt
DUNDWF1,VIC1,wind
DUNDWF2,VIC1,wind
DUNDWF3,VIC1,wind
EASTCRK,NSW1,biomass
EASTCRK2,NSW1,biomass
EDLRGNRD,QLD1,biomass
EILDON1,VIC1,hydro
EILDON2,VIC1,hydro
EILDON3,VIC1,hydro
ELAINWF1,VIC1,wind
EMERASF1,QLD1,solar
ER01,NSW1,black_coal
ER02,NSW1,black_coal
ER03,NSW1,black_coal
ER04,NSW1,black_coal
ERGT01,NSW1,distillate
FINLYSF1,NSW1,solar
FISHER,TAS1,hydro
FNWF1,VIC1,wind
GANNBG1,VIC1,battery_discharging
GANNSF1,VIC1,solar
GB01,NSW1,distillate
GEORGTN1,TAS1,distillate
GERMCRK,QLD1,gas_recip
GLBWNHYD,NSW1,hydro
GLENMAG1,VIC1,hydro
GLENNCRK,NSW1,gas_recip
GLRWNSF1,VIC1,solar
GOONSF1,NSW1,solar
GORDON,TAS1,hydro
GRANGEAV,NSW1,biomass
GRANWF1,TAS1,wind
GRIFSF1,NSW1,solar
GROSV1,QLD1,gas_recip
GROSV2,QLD1,gas_recip
GSTONE1,QLD1,black_coal
GSTONE2,QLD1,black_coal
GSTONE3,QLD1,black_coal
GSTONE4,QLD1,black_coal
GSTONE5,QLD1,black_coal
GSTONE6,QLD1,black_coal
GULLRSF1,NSW1,solar
GULLRWF1,NSW1,wind
GULLRWF2,NSW1,wind
GUNNING1,NSW1,wind
GUTHEGA,NSW1,hydro
HALAMRD1,VIC1,biomass
HALLAMRD1,VIC1,biomass
HALLWF1,SA1,wind
HALLWF2,SA1,wind
HAMISF1,QLD1,solar
HAUGHT11,QLD1,solar
HAYMSF1,QLD1,solar
HDWF1,SA1,wind
HDWF2,SA1,wind
HDWF3,SA1,wind
HEPWIND1,VIC1,wind
HIGHBRY1,SA1,biomass
HLMSEW01,VIC1,hydro
HPRG1,SA1,battery_discharging
HPRL1,SA1,battery_charging
HUGSF1,QLD1,solar
HUMENSW,NSW1,hydro
HUMEV,VIC1,hydro
HVGTS,NSW1,distillate
HWPS1,VIC1,brown_coal
HWPS2,VIC1,brown_coal
HWPS3,VIC1,brown_coal
HWPS4,VIC1,brown_coal
HWPS5,VIC1,brown_coal
HWPS6,VIC1,brown_coal
HWPS7,VIC1,brown_coal
HWPS8,VIC1,brown_coal
ICSM,QLD1,biomass
INVICTA,QLD1,biomass
JACKSGUL,NSW1,biomass
JBUTTERS,TAS1,hydro
JEMALNG1,NSW1,solar
JLA01,VIC1,gas_ocgt
JLA02,VIC1,gas_ocgt
JLA03,VIC1,gas_ocgt
JLA04,VIC1,gas_ocgt
JLB01,VIC1,gas_ocgt
JLB02,VIC1,gas_ocgt
JLB03,VIC1,gas_ocgt
JNDABNE1,NSW1,hydro
JOUNAMA1,NSW1,hydro
KAREEYA1,QLD1,hydro
KAREEYA2,QLD1,hydro
